epoch,train_loss,val_loss,lr,phi,n_detected,time_sec,best_val_loss
0,1.102594,1.810802,0.010000,0.5000,52,33.7,inf
1,0.998152,1.587947,0.010000,0.5702,68,24.6,1.810802
2,0.980308,1.445140,0.010000,0.6345,46,25.0,1.587947
3,0.901678,1.675015,0.010000,0.6787,75,35.1,1.445140
4,0.833543,1.410200,0.010000,0.7168,74,33.5,1.445140
5,0.747401,1.694313,0.010000,0.7471,43,29.6,1.410200
6,0.818532,1.275084,0.010000,0.7875,92,26.2,1.410200
7,0.681210,1.676358,0.010000,0.8284,69,38.4,1.275084
8,0.682136,1.679833,0.010000,0.8673,63,33.0,1.275084
9,0.666977,1.430861,0.010000,0.8956,65,31.8,1.275084
10,0.535730,2.312687,0.010000,0.9030,64,32.5,1.275084
11,0.676234,1.687664,0.010000,0.9314,77,29.3,1.275084
12,0.519976,2.063260,0.010000,0.9558,63,36.0,1.275084
13,0.511805,1.893034,0.010000,0.9674,65,25.9,1.275084
14,0.502081,2.668165,0.010000,0.9822,67,27.3,1.275084
15,0.475695,1.964524,0.010000,0.9832,66,23.4,1.275084
16,0.497080,1.847103,0.010000,0.9864,70,29.6,1.275084
17,0.438791,2.710462,0.010000,0.9978,72,32.5,1.275084
18,0.318865,2.482844,0.010000,1.0140,72,27.7,1.275084
19,0.399651,2.824425,0.001000,1.0223,67,28.3,1.275084
20,0.343735,1.932869,0.001000,1.0216,76,33.5,1.275084
21,0.196318,2.325717,0.001000,1.0332,76,33.2,1.275084
22,0.133334,2.278934,0.001000,1.0437,76,26.2,1.275084
23,0.118344,2.280325,0.001000,1.0545,77,21.6,1.275084
24,0.095998,2.587634,0.001000,1.0633,71,23.2,1.275084
25,0.098228,2.391597,0.001000,1.0760,74,22.6,1.275084
26,0.068870,2.666324,0.001000,1.0839,66,23.1,1.275084
27,0.057267,2.702936,0.001000,1.0899,65,24.6,1.275084
28,0.049172,3.001943,0.001000,1.0917,64,23.5,1.275084
29,0.040742,3.060668,0.001000,1.0989,71,23.5,1.275084
30,0.047424,2.764155,0.001000,1.1052,72,23.5,1.275084
31,0.050737,3.131305,0.001000,1.1093,74,22.8,1.275084
32,0.038099,3.045192,0.001000,1.1099,69,22.0,1.275084
33,0.029930,3.024590,0.001000,1.1141,77,22.8,1.275084
34,0.033489,3.427740,0.001000,1.1163,77,21.2,1.275084
35,0.033448,3.945293,0.001000,1.1183,82,25.5,1.275084
36,0.025601,3.887121,0.001000,1.1223,74,24.4,1.275084
37,0.027169,3.339236,0.001000,1.1250,74,23.0,1.275084
38,0.018691,3.306439,0.001000,1.1206,73,22.8,1.275084
39,0.025988,3.470552,0.000100,1.1174,66,23.4,1.275084
40,0.020312,3.216097,0.000100,1.1125,69,21.2,1.275084
41,0.023476,3.366717,0.000100,1.1078,75,22.1,1.275084
42,0.018460,3.339673,0.000100,1.1083,66,23.9,1.275084
43,0.016356,3.319269,0.000100,1.1043,64,23.1,1.275084
44,0.020999,3.902230,0.000100,1.1033,75,22.9,1.275084
45,0.013968,3.419068,0.000100,1.1029,70,21.3,1.275084
46,0.015082,3.988170,0.000100,1.1005,79,22.1,1.275084
47,0.017573,3.867206,0.000100,1.1037,77,23.4,1.275084
48,0.012117,3.479679,0.000100,1.1083,77,23.7,1.275084
49,0.018547,3.594944,0.000100,1.1059,72,23.7,1.275084
