epoch,train_loss,val_loss,lr,phi,n_detected,time_sec,best_val_loss
0,1.110152,1.750312,0.010000,0.5000,41,14.6,inf
1,0.962325,1.367383,0.010000,0.5610,58,14.3,1.750312
2,0.977301,1.299282,0.010000,0.6213,71,14.0,1.367383
3,0.876034,1.491175,0.010000,0.6683,57,13.9,1.299282
4,0.843032,1.403231,0.010000,0.7085,72,13.9,1.299282
5,0.784670,1.520170,0.010000,0.7501,78,14.0,1.299282
6,0.794853,1.492915,0.010000,0.7828,67,13.8,1.299282
7,0.733950,1.451933,0.010000,0.8195,82,14.0,1.299282
8,0.666278,1.643147,0.010000,0.8570,79,13.9,1.299282
9,0.742086,1.322022,0.010000,0.8922,76,13.9,1.299282
10,0.540587,2.811918,0.010000,0.9155,81,13.9,1.299282
11,0.619771,1.831284,0.010000,0.9301,86,13.9,1.299282
12,0.533169,1.941934,0.010000,0.9516,70,13.9,1.299282
13,0.572943,2.216724,0.010000,0.9729,76,13.9,1.299282
14,0.468512,3.280180,0.010000,0.9861,64,13.9,1.299282
15,0.516224,1.632522,0.010000,1.0000,66,13.9,1.299282
16,0.439303,1.652913,0.010000,1.0114,75,13.9,1.299282
17,0.548568,1.557816,0.010000,1.0236,74,13.9,1.299282
18,0.401630,1.887941,0.010000,1.0374,83,13.9,1.299282
19,0.349813,2.346096,0.001000,1.0415,79,13.8,1.299282
20,0.361429,1.797168,0.001000,1.0538,89,13.9,1.299282
21,0.195617,2.073362,0.001000,1.0647,90,13.9,1.299282
22,0.134501,1.955450,0.001000,1.0738,85,14.0,1.299282
23,0.111835,2.115035,0.001000,1.0823,87,14.4,1.299282
24,0.117771,2.068773,0.001000,1.0890,88,14.0,1.299282
25,0.104951,2.042907,0.001000,1.0966,84,13.9,1.299282
26,0.096842,2.084628,0.001000,1.1036,82,14.0,1.299282
27,0.066576,2.077677,0.001000,1.1103,84,13.9,1.299282
28,0.047906,2.269416,0.001000,1.1148,79,14.0,1.299282
29,0.045376,2.425298,0.001000,1.1210,82,13.9,1.299282
30,0.048699,2.117965,0.001000,1.1248,81,13.9,1.299282
31,0.048690,2.322557,0.001000,1.1296,83,13.9,1.299282
32,0.042770,2.475766,0.001000,1.1323,81,13.9,1.299282
33,0.037929,2.367756,0.001000,1.1339,79,13.9,1.299282
34,0.034911,2.547177,0.001000,1.1357,84,13.9,1.299282
35,0.044274,2.967995,0.001000,1.1364,84,13.9,1.299282
36,0.027984,2.790579,0.001000,1.1370,83,14.0,1.299282
37,0.034912,2.467773,0.001000,1.1402,82,14.0,1.299282
38,0.021709,2.521135,0.001000,1.1402,80,13.9,1.299282
39,0.032257,2.761583,0.000100,1.1418,80,13.9,1.299282
40,0.024041,2.539725,0.000100,1.1426,78,14.0,1.299282
41,0.030020,2.777354,0.000100,1.1437,82,14.0,1.299282
42,0.024457,2.567451,0.000100,1.1440,81,14.0,1.299282
43,0.025787,2.687340,0.000100,1.1438,82,13.9,1.299282
44,0.035439,3.244657,0.000100,1.1441,83,14.0,1.299282
45,0.023319,2.699036,0.000100,1.1435,80,14.0,1.299282
46,0.020719,3.052054,0.000100,1.1429,81,14.0,1.299282
47,0.023280,3.061859,0.000100,1.1428,84,13.9,1.299282
48,0.016468,2.638471,0.000100,1.1416,81,13.9,1.299282
49,0.027615,2.902646,0.000100,1.1441,84,14.0,1.299282
