comparison,metric,estimate,ci_low,ci_high,verdict
TOP,mAP,0.7513,0.7016,0.8024,
AdaLEA,mAP,0.7394,0.6907,0.792,
RiskProp random,mAP,0.7453,0.6954,0.8009,
RiskProp fixed,mAP,0.7427,0.6907,0.8004,
TOP - AdaLEA,mAP,0.0119,-0.0262,0.046,inconclusive (CI includes 0)
TOP - RiskProp random,mAP,0.0061,-0.0397,0.0451,inconclusive (CI includes 0)
AdaLEA - RiskProp random,mAP,-0.0059,-0.0473,0.031,inconclusive (CI includes 0)
RiskProp fixed - RiskProp random,mAP,-0.0026,-0.0311,0.0249,inconclusive (CI includes 0)
TOP,mAUC01,0.2228,0.1544,0.3132,
AdaLEA,mAUC01,0.2405,0.164,0.3337,
RiskProp random,mAUC01,0.2294,0.1531,0.3242,
RiskProp fixed,mAUC01,0.2242,0.146,0.3269,
TOP - AdaLEA,mAUC01,-0.0177,-0.0868,0.0545,inconclusive (CI includes 0)
TOP - RiskProp random,mAUC01,-0.0066,-0.0964,0.0705,inconclusive (CI includes 0)
AdaLEA - RiskProp random,mAUC01,0.0111,-0.0612,0.0768,inconclusive (CI includes 0)
RiskProp fixed - RiskProp random,mAUC01,-0.0052,-0.0643,0.0579,inconclusive (CI includes 0)
