run,file,old_mAP,new_mAP,max_abs_diff,ok
adalea_seed42,adalea/eval_results_rq1_adalea5f_seed42.txt,0.761,0.761,0.00033,True
adalea_seed43,adalea/eval_results_rq1_adalea5f_seed43.txt,0.6444,0.6444,4e-05,True
adalea_seed44,adalea/eval_results_rq1_adalea5f_seed44.txt,0.6493,0.6493,4e-05,True
riskprop_fixed_seed42,riskprop/eval_results_rq3_riskprop_fixed_seed42.txt,0.6908,0.6908,0.00033,True
riskprop_fixed_seed43,riskprop/eval_results_rq3_riskprop_fixed_seed43.txt,0.6925,0.6925,0.00033,True
riskprop_fixed_seed44,riskprop/eval_results_rq3_riskprop_fixed_seed44.txt,0.6382,0.6382,3e-05,True
riskprop_random_seed42,riskprop/eval_results_rq1_riskprop_random_seed42.txt,0.5449,0.5449,5e-05,True
riskprop_random_seed43,riskprop/eval_results_rq1_riskprop_random_seed43.txt,0.7264,0.7264,0.00033,True
riskprop_random_seed44,riskprop/eval_results_rq1_riskprop_random_seed44.txt,0.6474,0.6474,5e-05,True
top_seed42,top/eval_results_rq1_top5f_seed42.txt,0.6519,0.6519,0.00033,True
top_seed43,top/eval_results_rq1_top5f_seed43.txt,0.7107,0.7107,0.00033,True
top_seed44,top/eval_results_rq1_top5f_seed44.txt,0.6923,0.6923,0.00033,True
