epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.636435,0.611516,0.016026,0.033813,7.043656,0.609480,0.010000,107.6,inf
1,0.499199,0.468874,0.023976,0.036673,4.934963,0.619182,0.010000,104.1,7.043656
2,0.417964,0.383307,0.032186,0.037127,8.283120,0.631673,0.010000,104.6,4.934963
3,0.339505,0.299859,0.041050,0.038244,4.332763,0.616771,0.010000,106.5,4.934963
4,0.262401,0.224635,0.045325,0.030206,7.457657,0.685014,0.010000,107.3,4.332763
5,0.233863,0.191640,0.053071,0.031376,11.033912,0.657232,0.010000,105.3,4.332763
6,0.176457,0.139109,0.053412,0.021284,8.483775,0.542500,0.010000,106.5,4.332763
7,0.189158,0.148202,0.057234,0.024677,9.916205,0.585498,0.010000,105.9,4.332763
8,0.161754,0.122180,0.055988,0.023161,14.278542,0.639007,0.010000,104.8,4.332763
9,0.090279,0.054120,0.058030,0.014288,17.086574,0.643702,0.010000,105.1,4.332763
10,0.067379,0.032053,0.058396,0.012255,19.345204,0.677642,0.010000,104.7,4.332763
11,0.055490,0.022516,0.057458,0.008489,17.291175,0.649914,0.010000,106.3,4.332763
12,0.077575,0.042379,0.056844,0.013549,24.889474,0.671805,0.010000,105.0,4.332763
13,0.124200,0.083691,0.060816,0.020202,19.352858,0.655225,0.010000,105.4,4.332763
14,0.043996,0.009677,0.057623,0.011016,19.085723,0.700197,0.010000,105.7,4.332763
15,0.035009,0.003846,0.055098,0.007227,19.619064,0.714406,0.010000,104.7,4.332763
16,0.034870,0.004083,0.055733,0.005841,19.549578,0.714535,0.010000,104.4,4.332763
17,0.033181,0.002822,0.054947,0.005771,23.109186,0.719282,0.010000,106.4,4.332763
18,0.034954,0.003090,0.057228,0.006499,19.008740,0.739161,0.010000,103.5,4.332763
19,0.036866,0.005572,0.056306,0.006281,26.360638,0.682534,0.001000,105.7,4.332763
20,0.034627,0.003894,0.054562,0.006903,19.961704,0.721630,0.001000,103.7,4.332763
21,0.033511,0.002583,0.056046,0.005809,18.717239,0.736836,0.001000,104.6,4.332763
22,0.032483,0.002295,0.055055,0.005322,15.425332,0.745750,0.001000,103.3,4.332763
23,0.033756,0.002787,0.056218,0.005720,18.699330,0.738506,0.001000,104.7,4.332763
24,0.034379,0.002467,0.057370,0.006455,19.849528,0.735909,0.001000,104.2,4.332763
25,0.032441,0.001882,0.055884,0.005235,18.094862,0.741294,0.001000,104.8,4.332763
26,0.032534,0.002019,0.055641,0.005389,19.199715,0.739502,0.001000,103.6,4.332763
27,0.033705,0.002238,0.057484,0.005452,18.422214,0.739170,0.001000,103.1,4.332763
28,0.033572,0.002468,0.056828,0.005378,18.891516,0.737727,0.001000,104.4,4.332763
29,0.033165,0.002138,0.056854,0.005201,17.525632,0.739248,0.001000,105.5,4.332763
30,0.034078,0.002255,0.058136,0.005509,16.918376,0.738695,0.001000,105.2,4.332763
31,0.032945,0.001913,0.057035,0.005028,16.086885,0.743110,0.001000,105.0,4.332763
32,0.034027,0.001861,0.058166,0.006167,18.988240,0.733033,0.001000,105.1,4.332763
33,0.034122,0.001689,0.059030,0.005836,16.737600,0.733997,0.001000,104.9,4.332763
34,0.033804,0.001514,0.059169,0.005412,17.434911,0.734122,0.001000,103.4,4.332763
35,0.033867,0.001911,0.058658,0.005255,18.923009,0.738703,0.001000,104.9,4.332763
36,0.033935,0.002328,0.057085,0.006129,19.062218,0.732642,0.001000,103.9,4.332763
37,0.031484,0.001415,0.054698,0.005439,15.884974,0.743541,0.001000,104.4,4.332763
38,0.034135,0.002376,0.058218,0.005299,17.858465,0.738515,0.001000,105.2,4.332763
39,0.034739,0.002048,0.059743,0.005639,17.773496,0.745472,0.000100,103.8,4.332763
40,0.032272,0.001832,0.056335,0.004546,19.366285,0.730387,0.000100,104.6,4.332763
41,0.034012,0.001889,0.058259,0.005986,18.070119,0.744610,0.000100,103.5,4.332763
42,0.033360,0.001382,0.058166,0.005790,19.029974,0.736541,0.000100,105.9,4.332763
43,0.033081,0.002050,0.057007,0.005056,17.419081,0.731648,0.000100,103.7,4.332763
44,0.034538,0.001723,0.059457,0.006173,16.679810,0.739906,0.000100,105.6,4.332763
45,0.034012,0.001630,0.058952,0.005812,13.121683,0.730034,0.000100,104.7,4.332763
46,0.034356,0.002009,0.059446,0.005248,16.738360,0.724503,0.000100,104.0,4.332763
47,0.033683,0.002060,0.058063,0.005184,18.639325,0.733769,0.000100,103.6,4.332763
48,0.033548,0.001653,0.058140,0.005650,15.848723,0.738975,0.000100,105.5,4.332763
49,0.033573,0.001926,0.057894,0.005401,16.918121,0.725426,0.000100,103.6,4.332763
