epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.660215,0.633363,0.016701,0.037003,2.821906,0.714918,0.010000,151.0,inf
1,0.498093,0.469700,0.023208,0.033578,6.050260,0.676990,0.010000,140.3,2.821906
2,0.401444,0.369462,0.031243,0.032720,4.418761,0.722436,0.010000,125.8,2.821906
3,0.350288,0.316611,0.035533,0.031820,6.674595,0.680241,0.010000,140.4,2.821906
4,0.319637,0.283227,0.040569,0.032252,5.617105,0.699991,0.010000,137.5,2.821906
5,0.229306,0.194463,0.046570,0.023114,9.783297,0.668863,0.010000,145.3,2.821906
6,0.195929,0.159430,0.052128,0.020871,18.834669,0.578867,0.010000,133.7,2.821906
7,0.139453,0.103502,0.054087,0.017815,10.700600,0.667328,0.010000,137.6,2.821906
8,0.135886,0.099709,0.054786,0.017568,17.158698,0.615474,0.010000,139.0,2.821906
9,0.118008,0.081697,0.059053,0.013568,14.303416,0.612973,0.010000,136.0,2.821906
10,0.121645,0.087298,0.056166,0.012527,17.906825,0.617091,0.010000,146.2,2.821906
11,0.094697,0.058898,0.057362,0.014236,16.921219,0.690395,0.010000,149.2,2.821906
12,0.120534,0.083932,0.057648,0.015556,13.286151,0.683073,0.010000,133.7,2.821906
13,0.074524,0.042934,0.053207,0.009972,15.628346,0.656381,0.010000,149.3,2.821906
14,0.035118,0.006780,0.051170,0.005505,16.178329,0.690959,0.010000,147.2,2.821906
15,0.033958,0.005982,0.050969,0.004983,16.367283,0.707600,0.010000,169.5,2.821906
16,0.035219,0.005102,0.054472,0.005761,15.076647,0.718136,0.010000,187.1,2.821906
17,0.034868,0.004606,0.054260,0.006263,20.414371,0.709436,0.010000,208.0,2.821906
18,0.033569,0.003948,0.054041,0.005201,15.096474,0.729894,0.010000,174.7,2.821906
19,0.034410,0.004616,0.054463,0.005126,21.401046,0.709372,0.001000,249.3,2.821906
20,0.032735,0.003402,0.054412,0.004255,13.363045,0.714698,0.001000,176.2,2.821906
21,0.032088,0.003297,0.053215,0.004366,10.667970,0.718368,0.001000,205.8,2.821906
22,0.032682,0.003732,0.053158,0.004742,13.496494,0.722519,0.001000,200.0,2.821906
23,0.031665,0.003334,0.052117,0.004546,12.915016,0.727286,0.001000,175.9,2.821906
24,0.032684,0.003745,0.054087,0.003791,13.659046,0.722598,0.001000,166.9,2.821906
25,0.032968,0.003647,0.053657,0.004986,12.791902,0.727374,0.001000,166.0,2.821906
26,0.030327,0.003899,0.049319,0.003537,13.548940,0.732453,0.001000,183.3,2.821906
27,0.031932,0.003585,0.053061,0.003633,12.002190,0.724639,0.001000,203.3,2.821906
28,0.033065,0.003897,0.053640,0.004696,13.955035,0.727754,0.001000,164.9,2.821906
29,0.031499,0.003249,0.052864,0.003637,10.110237,0.725577,0.001000,165.0,2.821906
30,0.031573,0.003040,0.052935,0.004131,9.962988,0.733576,0.001000,143.0,2.821906
31,0.032452,0.004183,0.052565,0.003972,11.658914,0.735702,0.001000,143.3,2.821906
32,0.032092,0.003063,0.053387,0.004670,11.351396,0.718836,0.001000,141.8,2.821906
33,0.032371,0.003632,0.053172,0.004308,10.681704,0.711651,0.001000,162.5,2.821906
34,0.033050,0.003688,0.054659,0.004066,11.196109,0.733784,0.001000,153.6,2.821906
35,0.032596,0.004155,0.052921,0.003962,10.950240,0.743373,0.001000,156.4,2.821906
36,0.031344,0.003551,0.051792,0.003795,10.689928,0.720712,0.001000,108.2,2.821906
37,0.032643,0.004391,0.053423,0.003080,10.240884,0.737305,0.001000,104.7,2.821906
38,0.033578,0.003195,0.056737,0.004027,11.525081,0.734831,0.001000,104.5,2.821906
39,0.032260,0.002985,0.053982,0.004566,9.691826,0.722829,0.000100,104.2,2.821906
40,0.035821,0.005291,0.055927,0.005133,10.841339,0.720994,0.000100,104.1,2.821906
41,0.033276,0.004407,0.053277,0.004461,11.792788,0.733520,0.000100,106.2,2.821906
42,0.032948,0.004238,0.053794,0.003627,8.070778,0.728742,0.000100,106.6,2.821906
43,0.032484,0.003727,0.053718,0.003796,10.538936,0.726061,0.000100,105.0,2.821906
44,0.032359,0.003865,0.053772,0.003215,10.098541,0.724953,0.000100,104.0,2.821906
45,0.032441,0.003898,0.053326,0.003761,10.149439,0.735395,0.000100,104.2,2.821906
46,0.033121,0.003321,0.055120,0.004479,10.658834,0.732303,0.000100,102.9,2.821906
47,0.031750,0.002945,0.054437,0.003173,11.194998,0.727434,0.000100,104.1,2.821906
48,0.032969,0.003343,0.055017,0.004235,9.374156,0.729245,0.000100,169.0,2.821906
49,0.032772,0.003341,0.054692,0.004169,8.846289,0.732720,0.000100,155.9,2.821906
