epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.651211,0.628210,0.013587,0.032414,6.123376,0.593501,0.010000,125.6,inf
1,0.514958,0.486494,0.022568,0.034361,4.199481,0.638001,0.010000,120.3,6.123376
2,0.442892,0.407855,0.030437,0.039635,7.823857,0.641465,0.010000,118.0,4.199481
3,0.350779,0.314567,0.039027,0.033397,7.350730,0.609360,0.010000,107.5,4.199481
4,0.269728,0.235255,0.043960,0.024986,10.203888,0.667635,0.010000,143.2,4.199481
5,0.265114,0.225175,0.049033,0.030844,9.253240,0.689666,0.010000,158.6,4.199481
6,0.200130,0.166699,0.048603,0.018259,8.339050,0.636045,0.010000,140.2,4.199481
7,0.201537,0.163483,0.053297,0.022811,8.466936,0.665814,0.010000,127.9,4.199481
8,0.129857,0.094099,0.056464,0.015053,14.489262,0.642683,0.010000,136.6,4.199481
9,0.101113,0.067501,0.054079,0.013146,17.199684,0.662312,0.010000,143.1,4.199481
10,0.081875,0.047970,0.057732,0.010079,17.280905,0.603133,0.010000,131.9,4.199481
11,0.122005,0.084177,0.058752,0.016904,16.325837,0.684458,0.010000,149.7,4.199481
12,0.085813,0.052759,0.056682,0.009427,17.724674,0.604049,0.010000,129.7,4.199481
13,0.088274,0.052499,0.059738,0.011813,23.218535,0.615792,0.010000,147.6,4.199481
14,0.041707,0.010496,0.055954,0.006468,15.152116,0.690937,0.010000,161.1,4.199481
15,0.035518,0.004818,0.056272,0.005127,16.036995,0.704398,0.010000,155.6,4.199481
16,0.033984,0.003600,0.055359,0.005410,13.437846,0.732108,0.010000,127.9,4.199481
17,0.033796,0.003422,0.053995,0.006753,17.375836,0.733529,0.010000,109.6,4.199481
18,0.033751,0.003428,0.054638,0.006009,12.003406,0.744623,0.010000,112.5,4.199481
19,0.033593,0.003989,0.054247,0.004961,17.567181,0.730461,0.001000,133.8,4.199481
20,0.032362,0.002668,0.054528,0.004861,12.103003,0.763229,0.001000,133.8,4.199481
21,0.033691,0.003707,0.055291,0.004677,13.166227,0.762262,0.001000,141.5,4.199481
22,0.032925,0.003486,0.054141,0.004737,11.315421,0.760256,0.001000,154.8,4.199481
23,0.033191,0.003393,0.054904,0.004692,12.149762,0.774570,0.001000,145.0,4.199481
24,0.033772,0.003554,0.056076,0.004360,10.314089,0.769940,0.001000,134.8,4.199481
25,0.033007,0.003277,0.054725,0.004735,10.376192,0.773840,0.001000,138.1,4.199481
26,0.032453,0.003757,0.052828,0.004564,12.100008,0.772966,0.001000,156.2,4.199481
27,0.032485,0.003657,0.052871,0.004785,11.514666,0.781239,0.001000,135.6,4.199481
28,0.032582,0.003837,0.053551,0.003939,9.095746,0.774463,0.001000,157.9,4.199481
29,0.032738,0.003538,0.053484,0.004916,10.784534,0.776988,0.001000,138.1,4.199481
30,0.033032,0.003857,0.053874,0.004477,9.341483,0.782686,0.001000,168.5,4.199481
31,0.032514,0.003059,0.053877,0.005032,9.737392,0.780966,0.001000,139.0,4.199481
32,0.032116,0.003608,0.052910,0.004105,8.887425,0.789336,0.001000,128.8,4.199481
33,0.033361,0.004587,0.053107,0.004440,9.068857,0.780762,0.001000,106.3,4.199481
34,0.031778,0.003312,0.053011,0.003920,7.989937,0.787243,0.001000,104.6,4.199481
35,0.033191,0.003843,0.054375,0.004321,8.886309,0.790025,0.001000,104.7,4.199481
36,0.032776,0.004674,0.051877,0.004326,9.380829,0.783223,0.001000,104.8,4.199481
37,0.030363,0.003940,0.049577,0.003269,9.751311,0.779831,0.001000,105.1,4.199481
38,0.032330,0.003934,0.052719,0.004074,9.907712,0.778527,0.001000,105.6,4.199481
39,0.032949,0.003839,0.054064,0.004157,9.591322,0.786514,0.000100,104.5,4.199481
40,0.031882,0.003693,0.052713,0.003665,9.758285,0.783280,0.000100,102.4,4.199481
41,0.032693,0.004145,0.053631,0.003466,9.067152,0.784654,0.000100,104.3,4.199481
42,0.031812,0.003580,0.052829,0.003635,9.706917,0.784564,0.000100,123.3,4.199481
43,0.031327,0.003715,0.051808,0.003417,9.214426,0.780743,0.000100,113.6,4.199481
44,0.033685,0.004407,0.054010,0.004545,8.427494,0.786982,0.000100,110.2,4.199481
45,0.031813,0.003409,0.052895,0.003913,7.915503,0.786619,0.000100,120.5,4.199481
46,0.032025,0.003889,0.052801,0.003472,8.249621,0.784601,0.000100,112.7,4.199481
47,0.032093,0.003823,0.052864,0.003677,9.215943,0.784756,0.000100,113.7,4.199481
48,0.032887,0.004354,0.052767,0.004300,8.794397,0.784540,0.000100,112.0,4.199481
49,0.031917,0.003538,0.052566,0.004191,9.039034,0.783006,0.000100,125.7,4.199481
