epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.625484,0.600578,0.014940,0.034871,3.303970,0.675462,0.010000,115.5,inf
1,0.526160,0.495373,0.022074,0.039501,3.971734,0.585409,0.010000,113.2,3.303970
2,0.468943,0.434973,0.029346,0.038594,3.746367,0.643177,0.010000,125.5,3.303970
3,0.380384,0.346720,0.032265,0.035063,5.997215,0.660963,0.010000,112.9,3.303970
4,0.307373,0.269031,0.040394,0.036291,10.510312,0.650941,0.010000,123.4,3.303970
5,0.242972,0.203831,0.045790,0.032493,8.612763,0.586004,0.010000,124.5,3.303970
6,0.207353,0.166979,0.051131,0.029617,12.446276,0.682745,0.010000,121.2,3.303970
7,0.162993,0.124183,0.054368,0.023253,7.571521,0.671764,0.010000,108.4,3.303970
8,0.141759,0.100842,0.057853,0.023981,15.589242,0.616264,0.010000,110.7,3.303970
9,0.148776,0.109027,0.056503,0.022995,12.176485,0.623287,0.010000,114.7,3.303970
10,0.091342,0.055635,0.057503,0.013911,16.203293,0.638120,0.010000,117.8,3.303970
11,0.098331,0.061322,0.056384,0.017633,20.516585,0.597905,0.010000,117.7,3.303970
12,0.121341,0.080754,0.060582,0.020591,17.110219,0.588468,0.010000,120.7,3.303970
13,0.092935,0.056072,0.057510,0.016216,16.931444,0.630601,0.010000,105.5,3.303970
14,0.054575,0.020823,0.056704,0.010799,20.344119,0.673676,0.010000,106.4,3.303970
15,0.054684,0.021382,0.055830,0.010774,16.267837,0.654956,0.010000,109.0,3.303970
16,0.061636,0.028091,0.055216,0.011873,11.035267,0.712091,0.010000,108.9,3.303970
17,0.046260,0.011375,0.058640,0.011131,19.167960,0.683139,0.010000,106.5,3.303970
18,0.036728,0.005591,0.054777,0.007498,18.081130,0.698241,0.010000,111.8,3.303970
19,0.035334,0.004416,0.056260,0.005576,14.517295,0.711778,0.001000,115.4,3.303970
20,0.034576,0.002990,0.056539,0.006634,16.319382,0.713259,0.001000,113.8,3.303970
21,0.033073,0.002754,0.054365,0.006273,17.174816,0.712824,0.001000,111.5,3.303970
22,0.034095,0.002540,0.055478,0.007633,14.367952,0.725287,0.001000,110.4,3.303970
23,0.034250,0.003093,0.055043,0.007271,13.853780,0.715931,0.001000,113.9,3.303970
24,0.033208,0.002747,0.054415,0.006508,13.356760,0.725838,0.001000,110.5,3.303970
25,0.031889,0.002180,0.053750,0.005669,14.282484,0.725482,0.001000,106.9,3.303970
26,0.033898,0.002419,0.055524,0.007435,12.512880,0.721147,0.001000,110.9,3.303970
27,0.033702,0.002498,0.055674,0.006735,14.637618,0.717857,0.001000,106.5,3.303970
28,0.033998,0.002755,0.055754,0.006732,13.659748,0.718055,0.001000,107.8,3.303970
29,0.032479,0.002780,0.052782,0.006615,13.777271,0.719112,0.001000,109.4,3.303970
30,0.033145,0.002690,0.054912,0.005997,12.861306,0.723211,0.001000,116.0,3.303970
31,0.032669,0.002453,0.054042,0.006392,11.668061,0.725953,0.001000,109.9,3.303970
32,0.033485,0.002595,0.055732,0.006046,12.040093,0.724522,0.001000,124.1,3.303970
33,0.034048,0.002517,0.056204,0.006858,14.361635,0.732023,0.001000,117.7,3.303970
34,0.032743,0.002431,0.054488,0.006136,12.189316,0.732497,0.001000,118.7,3.303970
35,0.033884,0.002782,0.055334,0.006868,12.973431,0.734376,0.001000,124.8,3.303970
36,0.033256,0.002565,0.055470,0.005911,13.017705,0.738489,0.001000,131.9,3.303970
37,0.033836,0.002559,0.055420,0.007132,11.541919,0.729486,0.001000,141.8,3.303970
38,0.034887,0.002889,0.056713,0.007284,13.340325,0.745513,0.001000,142.1,3.303970
39,0.032921,0.002182,0.055358,0.006119,13.252675,0.745775,0.000100,113.0,3.303970
40,0.032386,0.002487,0.054622,0.005176,11.729652,0.730846,0.000100,118.3,3.303970
41,0.032290,0.002028,0.055131,0.005393,12.443072,0.731664,0.000100,126.5,3.303970
42,0.032800,0.002248,0.054521,0.006583,13.806716,0.737263,0.000100,146.9,3.303970
43,0.031833,0.002448,0.053617,0.005152,11.301370,0.738992,0.000100,139.2,3.303970
44,0.034127,0.002148,0.057123,0.006834,12.411457,0.731885,0.000100,163.2,3.303970
45,0.033535,0.002236,0.056573,0.006025,14.288344,0.734917,0.000100,171.4,3.303970
46,0.033363,0.002599,0.056181,0.005347,12.822344,0.727732,0.000100,160.9,3.303970
47,0.032891,0.002405,0.055632,0.005339,11.664733,0.733833,0.000100,177.7,3.303970
48,0.033365,0.002255,0.057009,0.005209,12.195494,0.736965,0.000100,153.7,3.303970
49,0.032574,0.002042,0.054902,0.006162,12.125187,0.738205,0.000100,181.1,3.303970
