epoch,train_loss,train_bce,train_reg,train_mono,val_loss,lr,time_sec,best_val_loss
0,0.706285,0.628205,0.041957,0.013768,2.495944,0.010000,98.7,inf
1,0.702904,0.614087,0.050197,0.012293,2.201800,0.010000,98.3,2.495944
2,0.703051,0.598209,0.060709,0.012526,2.454335,0.010000,97.9,2.201800
3,0.670121,0.576226,0.052433,0.013860,2.011103,0.010000,97.9,2.201800
4,0.693825,0.572968,0.069589,0.014975,1.903282,0.010000,98.0,2.011103
5,0.771784,0.643469,0.077759,0.010615,3.000924,0.010000,97.9,1.903282
6,0.666895,0.584145,0.045310,0.013441,2.032361,0.010000,97.9,1.903282
7,0.700899,0.579133,0.069544,0.015863,2.033010,0.010000,97.9,1.903282
8,0.743620,0.589625,0.092584,0.013744,2.407022,0.010000,97.9,1.903282
9,0.793611,0.615856,0.110485,0.010934,2.219718,0.010000,97.9,1.903282
10,0.727136,0.578158,0.089510,0.013375,1.414933,0.010000,97.9,1.903282
11,0.731847,0.571938,0.097951,0.011803,2.552106,0.010000,97.9,1.414933
12,0.811369,0.595032,0.133362,0.014812,1.280044,0.010000,97.9,1.414933
13,0.781661,0.634072,0.088137,0.013985,1.366368,0.010000,97.9,1.280044
14,0.729057,0.558991,0.105214,0.011132,2.041634,0.010000,97.9,1.280044
15,0.849468,0.608587,0.152244,0.011377,1.266387,0.010000,98.0,1.280044
16,0.808479,0.592030,0.136703,0.010359,1.323980,0.010000,98.1,1.266387
17,0.850408,0.596582,0.160923,0.011311,1.523617,0.010000,98.0,1.266387
18,0.874700,0.605711,0.171662,0.010451,2.675912,0.010000,97.9,1.266387
19,0.841167,0.569046,0.172638,0.011967,1.566421,0.001000,97.9,1.266387
20,0.789821,0.521408,0.174022,0.006710,1.300664,0.001000,97.9,1.266387
21,2.616787,1.663647,0.634561,0.001181,6.458682,0.001000,97.9,1.266387
22,2.992685,1.805808,0.780012,0.015327,2.044554,0.001000,97.9,1.266387
23,0.706543,0.458930,0.158134,0.009466,1.470887,0.001000,97.9,1.266387
24,1.556970,0.960516,0.394576,0.004173,1.643880,0.001000,97.9,1.266387
25,1.042184,0.650958,0.258003,0.003837,1.749606,0.001000,97.9,1.266387
26,1.380358,0.838608,0.359121,0.002790,2.192414,0.001000,97.9,1.266387
27,0.701486,0.437819,0.171044,0.006456,2.026205,0.001000,97.9,1.266387
28,0.732693,0.446965,0.186435,0.005523,1.653484,0.001000,98.0,1.266387
29,0.724363,0.494986,0.150833,0.002843,2.101815,0.001000,97.9,1.266387
30,0.722322,0.493075,0.151038,0.002445,2.024098,0.001000,98.0,1.266387
31,0.555662,0.389664,0.108465,0.003000,2.329067,0.001000,97.9,1.266387
32,0.733126,0.512109,0.146245,0.001499,2.494624,0.001000,98.0,1.266387
33,0.472660,0.342078,0.084816,0.003053,2.702130,0.001000,98.0,1.266387
34,0.701801,0.435651,0.174552,0.003929,2.221195,0.001000,98.4,1.266387
35,0.713472,0.395533,0.209249,0.003695,1.841297,0.001000,97.9,1.266387
36,0.702034,0.470974,0.152890,0.001569,1.750498,0.001000,97.9,1.266387
37,0.462700,0.326694,0.088408,0.003085,1.807963,0.001000,97.9,1.266387
38,0.501614,0.368216,0.088006,0.001263,1.707363,0.001000,97.9,1.266387
39,0.634813,0.472846,0.107301,0.000922,2.322611,0.000100,98.0,1.266387
40,0.814978,0.572642,0.160078,0.002017,2.573623,0.000100,97.9,1.266387
41,0.791680,0.582627,0.139060,0.000421,2.569396,0.000100,97.9,1.266387
42,0.759605,0.568685,0.126455,0.001125,2.639311,0.000100,97.8,1.266387
43,0.741063,0.565750,0.116493,0.000521,2.478103,0.000100,98.0,1.266387
44,0.757788,0.578728,0.119057,0.000432,2.838827,0.000100,98.0,1.266387
45,0.722571,0.533855,0.124767,0.001423,2.860041,0.000100,97.9,1.266387
46,0.692564,0.541147,0.100504,0.000601,2.503294,0.000100,97.9,1.266387
47,0.661002,0.516002,0.096300,0.000500,2.734788,0.000100,98.0,1.266387
48,0.615770,0.482234,0.088256,0.001047,2.823026,0.000100,98.0,1.266387
49,0.575581,0.460338,0.076010,0.001116,2.695885,0.000100,97.9,1.266387
