contrast,metric,paper_delta,ours_delta,ours_95CI,agreement
"FFR effect, AMC absent (B-A)",mAP,0.073,0.1025,"[0.0621, 0.1443]",agrees (same sign)
"FFR effect, AMC absent (B-A)",mAUC01,0.155,0.0696,"[0.0076, 0.1427]",agrees (same sign)
"AMC effect, FFR absent (C-A)",mAP,0.004,0.0131,"[-0.0211, 0.0444]",not confirmed (our CI includes 0)
"AMC effect, FFR absent (C-A)",mAUC01,0.004,0.0142,"[-0.0248, 0.0508]",not confirmed (our CI includes 0)
"FFR effect, AMC present (D-C)",mAP,0.085,0.0915,"[0.0544, 0.13]",agrees (same sign)
"FFR effect, AMC present (D-C)",mAUC01,0.17,0.0651,"[0.0046, 0.1345]",agrees (same sign)
"AMC effect, FFR present (D-B)",mAP,0.016,0.0021,"[-0.0256, 0.028]",not confirmed (our CI includes 0)
"AMC effect, FFR present (D-B)",mAUC01,0.019,0.0097,"[-0.0446, 0.0675]",not confirmed (our CI includes 0)
Interaction (D-C)-(B-A),mAP,0.012,-0.0111,"[-0.0501, 0.0309]",not confirmed (our CI includes 0)
Interaction (D-C)-(B-A),mAUC01,0.015,-0.0045,"[-0.067, 0.0591]",not confirmed (our CI includes 0)
