condition,seed,run,checkpoint,mAP,AP@0.5s,AP@1.0s,AP@1.5s,VideoAUC,mAUC01@0.5s,mAUC01@1.0s,mAUC01@1.5s,mAUC01,Recall@0.5s,Recall@1.0s,Recall@1.5s,ActualFAR@0.5s,ActualFAR@1.0s,ActualFAR@1.5s,Threshold@0.5s,Threshold@1.0s,Threshold@1.5s,mTTA_detected,Coverage,mTTA_all,viol_pos,down_pos,jitter_pos,viol_pos_eps0,jitter_neg,down_neg,meanscore_neg
A,42,riskprop_random_seed42_neither,best,0.6615290052396574,0.7610163141518975,0.6359459023256535,0.5876247992414212,0.6692444444444444,0.24444444444444444,0.09422222222222222,0.076,0.13822222222222222,0.38666666666666666,0.20666666666666667,0.13333333333333333,0.1,0.1,0.1,0.9107763171195984,0.9120970964431763,0.9199023842811584,0.9071428571428571,0.4666666666666667,0.42333333333333334,0.2595708812260536,0.01514399720834911,0.045452406686326004,0.31132567049808424,0.045296005946029685,0.01880631412807638,0.31762712976848706
A,43,riskprop_random_seed43_neither,latest,0.6909064183236958,0.7698111422342869,0.6834398310529495,0.6194682816838513,0.6886222222222222,0.34355555555555556,0.21066666666666667,0.15333333333333332,0.23585185185185184,0.5333333333333333,0.36666666666666664,0.24,0.09333333333333334,0.1,0.08666666666666667,0.03880973532795906,0.03552721068263054,0.05100395530462265,1.0161290322580645,0.62,0.63,0.12672796934865901,0.02144845765935943,0.08833169739572004,0.35708812260536393,0.03827766094720782,0.0112223075472206,0.04213867912216715
A,44,riskprop_random_seed44_neither,latest,0.5695335161147453,0.6063201887346871,0.5478696414839286,0.5544107181256201,0.5611111111111111,0.09022222222222223,0.06888888888888889,0.07022222222222223,0.07644444444444444,0.22,0.15333333333333332,0.12666666666666668,0.09333333333333334,0.1,0.08,0.9841371774673462,0.977417528629303,0.9961110949516296,1.05,0.26666666666666666,0.28,0.1614406130268199,0.026451955422344714,0.10190775781769931,0.3917701149425288,0.057670952803460955,0.017292711029964682,0.14409858808028597
B,42,riskprop_random_seed42_ffronly,latest,0.724823238812463,0.7863290544077005,0.7129450082532744,0.6751956537764143,0.7644222222222222,0.2548888888888889,0.14866666666666667,0.11933333333333333,0.17429629629629628,0.4533333333333333,0.36,0.26666666666666666,0.1,0.1,0.1,0.9303890466690063,0.9057453870773315,0.9160044193267822,1.1219512195121952,0.5466666666666666,0.6133333333333334,0.20249808429118774,0.034251898096965716,0.12745844354707714,0.3094252873563219,0.06934449525231615,0.020727693808092567,0.11731718402411798
B,43,riskprop_random_seed43_ffronly,latest,0.7488614812817119,0.8153046061328382,0.7384990869081531,0.6927807508041444,0.7589111111111111,0.3506666666666667,0.21533333333333335,0.16444444444444445,0.2434814814814815,0.5333333333333333,0.38,0.3,0.1,0.1,0.1,0.9632683396339417,0.9602388143539429,0.9620161652565002,1.1179775280898876,0.5933333333333334,0.6633333333333333,0.21912643678160917,0.03280528954599116,0.11833096738571555,0.32657471264367816,0.0954527632676974,0.028720957084080987,0.14976487653166892
B,44,riskprop_random_seed44_ffronly,latest,0.7559013433581271,0.8340857144743654,0.7517619493175842,0.6818563662824317,0.7867111111111111,0.37533333333333335,0.22,0.12933333333333333,0.24155555555555555,0.5666666666666667,0.44666666666666666,0.31333333333333335,0.1,0.1,0.1,0.9395428895950317,0.9427333474159241,0.9406141638755798,1.1224489795918366,0.6533333333333333,0.7333333333333333,0.22537931034482764,0.035612675246268315,0.12760758982140016,0.3214406130268199,0.09851987888608792,0.029417603465408178,0.18069442499399407
C,42,riskprop_random_seed42_amconly,best,0.6554734230658782,0.7521135406707575,0.6350509733361158,0.5792557551907611,0.6510666666666668,0.23377777777777775,0.12,0.08800000000000002,0.14725925925925926,0.31333333333333335,0.16,0.12666666666666668,0.1,0.08666666666666667,0.06666666666666667,0.9136500954627991,0.9185941219329834,0.9304050207138062,0.9339622641509434,0.35333333333333333,0.33,0.22836781609195403,0.010723477035075767,0.03455448469767968,0.29360919540229885,0.03028644150034303,0.011956636575104177,0.3253249715616306
C,43,riskprop_random_seed43_amconly,latest,0.6763022833067994,0.7881662337571618,0.6758070323242744,0.5649335838389618,0.6528,0.32533333333333336,0.19155555555555556,0.08,0.19896296296296298,0.44666666666666666,0.30666666666666664,0.14,0.1,0.1,0.1,0.03137596696615219,0.03336111828684807,0.030369887128472328,0.95,0.5333333333333333,0.5066666666666666,0.10082758620689655,0.013948819937275468,0.060511005455775736,0.3536704980842912,0.014431003432665153,0.004472938774851339,0.01917286747541609
C,44,riskprop_random_seed44_amconly,latest,0.6296147692918977,0.7605081898264484,0.5854218974215184,0.5429142206277267,0.5979555555555556,0.2626666666666667,0.09244444444444445,0.08533333333333333,0.14681481481481481,0.44,0.2,0.18,0.1,0.1,0.1,0.009826970286667347,0.01112198643386364,0.01056720782071352,0.961038961038961,0.5133333333333333,0.4933333333333333,0.05826819923371647,0.013279775073623351,0.06175831717766994,0.3187892720306514,0.014593504312370852,0.0036403908156656343,0.012409658048797309
D,42,riskprop_random_seed42,latest,0.7108366902019805,0.7943800625023961,0.6981983556085729,0.6399316524949727,0.747688888888889,0.24533333333333332,0.12755555555555556,0.08133333333333334,0.1514074074074074,0.36666666666666664,0.24666666666666667,0.16,0.09333333333333334,0.09333333333333334,0.09333333333333334,0.9921448826789856,0.9922053217887878,0.9919901490211487,1.0153846153846153,0.43333333333333335,0.44,0.20045977011494248,0.030626672681711375,0.11377121452303712,0.3115095785440613,0.07583216380128817,0.02279547023152416,0.1618020408495522
