[seed=44] Train: 1200 videos, 600 batches/epoch (2x12=24 clips/batch)
[seed=44] Val  : 300 videos, 38 batches/epoch (single-snippet)
Using cache found in /root/.cache/torch/hub/facebookresearch_pytorchvideo_main
Params: 31,636,545

==================================================
[seed=44] RQ2 ablation -- condition A: neither (FFR=False AMC=False pairing=random, LR=0.01, matched-budget, identical to cell34 otherwise): epoch 0 -> 49
==================================================

[seed=44] Epoch  0: train=0.7316 (bce=0.7316 reg=0.0000 mono=0.0000), val_loss=3.3483, val_mAP=0.5066, lr=0.010000, time=91.6s
  * Saved best_riskprop_random_seed44_neither.pth (val_loss=3.3483)
[seed=44] Epoch  1: train=0.6561 (bce=0.6561 reg=0.0000 mono=0.0000), val_loss=6.3293, val_mAP=0.5474, lr=0.010000, time=90.9s
[seed=44] Epoch  2: train=0.6349 (bce=0.6349 reg=0.0000 mono=0.0000), val_loss=4.7098, val_mAP=0.4421, lr=0.010000, time=90.9s
[seed=44] Epoch  3: train=0.6333 (bce=0.6333 reg=0.0000 mono=0.0000), val_loss=4.0675, val_mAP=0.5436, lr=0.010000, time=90.7s
[seed=44] Epoch  4: train=0.6177 (bce=0.6177 reg=0.0000 mono=0.0000), val_loss=6.3367, val_mAP=0.5347, lr=0.010000, time=90.7s
[seed=44] Epoch  5: train=0.5952 (bce=0.5952 reg=0.0000 mono=0.0000), val_loss=8.0378, val_mAP=0.4446, lr=0.010000, time=91.2s
[seed=44] Epoch  6: train=0.5769 (bce=0.5769 reg=0.0000 mono=0.0000), val_loss=5.2564, val_mAP=0.5107, lr=0.010000, time=90.6s
[seed=44] Epoch  7: train=0.5579 (bce=0.5579 reg=0.0000 mono=0.0000), val_loss=4.8528, val_mAP=0.5246, lr=0.010000, time=90.7s
[seed=44] Epoch  8: train=0.5431 (bce=0.5431 reg=0.0000 mono=0.0000), val_loss=3.9925, val_mAP=0.5460, lr=0.010000, time=90.6s
[seed=44] Epoch  9: train=0.5102 (bce=0.5102 reg=0.0000 mono=0.0000), val_loss=4.4001, val_mAP=0.4984, lr=0.010000, time=90.8s
[seed=44] Epoch 10: train=0.5124 (bce=0.5124 reg=0.0000 mono=0.0000), val_loss=5.7368, val_mAP=0.5441, lr=0.010000, time=91.0s
