epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.607830,0.592144,0.000000,0.031372,3.975840,0.632502,0.010000,93.1,inf
1,0.494101,0.477898,0.000000,0.032407,5.500232,0.626233,0.010000,91.9,3.975840
2,0.415334,0.397125,0.000000,0.036418,5.724277,0.649758,0.010000,92.4,3.975840
3,0.348306,0.331949,0.000000,0.032714,5.736548,0.644454,0.010000,92.2,3.975840
4,0.274921,0.260767,0.000000,0.028308,11.847756,0.591615,0.010000,92.3,3.975840
5,0.237648,0.223380,0.000000,0.028536,8.394499,0.649066,0.010000,92.5,3.975840
6,0.178546,0.166181,0.000000,0.024729,10.356652,0.692113,0.010000,92.3,3.975840
7,0.172648,0.161272,0.000000,0.022753,5.364521,0.639384,0.010000,92.3,3.975840
8,0.140282,0.130256,0.000000,0.020051,10.480146,0.656714,0.010000,92.4,3.975840
9,0.105822,0.098765,0.000000,0.014112,11.149153,0.613385,0.010000,92.3,3.975840
10,0.068245,0.062919,0.000000,0.010652,16.509918,0.623054,0.010000,92.5,3.975840
11,0.057728,0.052723,0.000000,0.010010,18.238959,0.588302,0.010000,92.2,3.975840
12,0.082133,0.073740,0.000000,0.016787,16.250184,0.658110,0.010000,92.3,3.975840
13,0.078352,0.071535,0.000000,0.013633,14.508421,0.562110,0.010000,92.2,3.975840
14,0.103500,0.095231,0.000000,0.016539,14.425625,0.626877,0.010000,92.4,3.975840
15,0.049104,0.043215,0.000000,0.011776,12.260669,0.674278,0.010000,92.4,3.975840
16,0.033678,0.029157,0.000000,0.009043,14.812836,0.617548,0.010000,92.3,3.975840
17,0.048085,0.042449,0.000000,0.011273,23.859395,0.629547,0.010000,92.3,3.975840
18,0.047477,0.042245,0.000000,0.010465,22.618777,0.633719,0.010000,92.4,3.975840
19,0.047314,0.042044,0.000000,0.010541,23.319003,0.559198,0.001000,92.7,3.975840
20,0.021569,0.018777,0.000000,0.005585,23.648012,0.595709,0.001000,92.3,3.975840
21,0.007833,0.005759,0.000000,0.004148,26.445171,0.609267,0.001000,92.4,3.975840
22,0.006170,0.004055,0.000000,0.004229,25.277758,0.618715,0.001000,92.2,3.975840
23,0.006420,0.004152,0.000000,0.004538,25.813083,0.609079,0.001000,92.2,3.975840
24,0.010211,0.007296,0.000000,0.005830,22.376951,0.634483,0.001000,91.5,3.975840
25,0.004621,0.002411,0.000000,0.004420,26.885097,0.612816,0.001000,91.4,3.975840
26,0.004457,0.002295,0.000000,0.004324,25.008391,0.615426,0.001000,91.5,3.975840
27,0.003769,0.001963,0.000000,0.003613,27.043474,0.624548,0.001000,91.6,3.975840
28,0.003474,0.001724,0.000000,0.003500,28.424076,0.603175,0.001000,91.7,3.975840
29,0.004581,0.002884,0.000000,0.003394,27.141585,0.617964,0.001000,91.4,3.975840
30,0.003862,0.002083,0.000000,0.003558,25.728314,0.625850,0.001000,91.5,3.975840
31,0.002861,0.001358,0.000000,0.003006,25.125871,0.628947,0.001000,91.5,3.975840
32,0.002610,0.000874,0.000000,0.003472,27.678172,0.628438,0.001000,91.5,3.975840
33,0.002765,0.000828,0.000000,0.003873,29.950514,0.617261,0.001000,92.3,3.975840
34,0.002320,0.000836,0.000000,0.002969,28.222893,0.625083,0.001000,92.4,3.975840
35,0.003641,0.002022,0.000000,0.003238,26.606014,0.631447,0.001000,91.5,3.975840
36,0.002396,0.000800,0.000000,0.003193,29.242650,0.634837,0.001000,92.1,3.975840
37,0.002966,0.001298,0.000000,0.003337,29.410566,0.620062,0.001000,91.9,3.975840
38,0.002213,0.000653,0.000000,0.003120,31.343243,0.618434,0.001000,92.0,3.975840
39,0.002954,0.001296,0.000000,0.003316,28.421659,0.624944,0.000100,92.3,3.975840
40,0.002355,0.000721,0.000000,0.003268,27.155223,0.631659,0.000100,92.7,3.975840
41,0.002398,0.000774,0.000000,0.003248,28.630662,0.623768,0.000100,93.0,3.975840
42,0.002380,0.001061,0.000000,0.002638,32.055438,0.638597,0.000100,93.0,3.975840
43,0.002023,0.000672,0.000000,0.002701,28.186971,0.623319,0.000100,92.6,3.975840
44,0.002215,0.000909,0.000000,0.002612,29.607505,0.621246,0.000100,92.7,3.975840
45,0.002067,0.000652,0.000000,0.002830,30.827638,0.620313,0.000100,92.6,3.975840
46,0.002338,0.000683,0.000000,0.003309,29.951607,0.625292,0.000100,92.4,3.975840
47,0.002236,0.000770,0.000000,0.002932,28.178608,0.628226,0.000100,92.7,3.975840
48,0.002034,0.000573,0.000000,0.002921,27.061056,0.635808,0.000100,92.9,3.975840
49,0.002212,0.000882,0.000000,0.002659,31.547961,0.625100,0.000100,92.7,3.975840
