epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.679272,0.679272,0.000000,0.000000,5.160406,0.531297,0.010000,91.9,inf
1,0.656732,0.656732,0.000000,0.000000,4.287870,0.564343,0.010000,90.6,5.160406
2,0.627352,0.627352,0.000000,0.000000,4.831810,0.570396,0.010000,90.8,4.287870
3,0.598482,0.598482,0.000000,0.000000,4.821002,0.572114,0.010000,90.7,4.287870
4,0.574636,0.574636,0.000000,0.000000,4.629854,0.601211,0.010000,90.8,4.287870
5,0.555014,0.555014,0.000000,0.000000,5.603255,0.581390,0.010000,90.9,4.287870
6,0.525594,0.525594,0.000000,0.000000,6.651434,0.595842,0.010000,91.0,4.287870
7,0.478254,0.478254,0.000000,0.000000,5.098879,0.638859,0.010000,90.8,4.287870
8,0.452333,0.452333,0.000000,0.000000,4.579347,0.597453,0.010000,90.9,4.287870
9,0.430606,0.430606,0.000000,0.000000,6.262879,0.581709,0.010000,90.8,4.287870
10,0.399377,0.399377,0.000000,0.000000,6.364570,0.631125,0.010000,90.9,4.287870
11,0.337802,0.337802,0.000000,0.000000,5.830137,0.618268,0.010000,91.0,4.287870
12,0.295015,0.295015,0.000000,0.000000,6.723833,0.638371,0.010000,90.9,4.287870
13,0.268145,0.268145,0.000000,0.000000,6.905642,0.621465,0.010000,90.8,4.287870
14,0.213895,0.213895,0.000000,0.000000,9.685069,0.641972,0.010000,90.6,4.287870
15,0.176571,0.176571,0.000000,0.000000,10.421330,0.620271,0.010000,90.8,4.287870
16,0.178036,0.178036,0.000000,0.000000,9.643319,0.685980,0.010000,90.9,4.287870
17,0.157315,0.157315,0.000000,0.000000,12.621366,0.599335,0.010000,90.9,4.287870
18,0.137487,0.137487,0.000000,0.000000,14.356783,0.602723,0.010000,91.2,4.287870
19,0.105592,0.105592,0.000000,0.000000,12.234828,0.646707,0.001000,90.6,4.287870
20,0.064608,0.064608,0.000000,0.000000,12.566137,0.663029,0.001000,90.5,4.287870
21,0.036016,0.036016,0.000000,0.000000,12.909574,0.657650,0.001000,90.4,4.287870
22,0.022721,0.022721,0.000000,0.000000,15.874881,0.651306,0.001000,90.7,4.287870
23,0.018601,0.018601,0.000000,0.000000,13.153275,0.659493,0.001000,90.5,4.287870
24,0.015863,0.015863,0.000000,0.000000,14.853749,0.658300,0.001000,90.6,4.287870
25,0.013133,0.013133,0.000000,0.000000,17.814594,0.662002,0.001000,90.4,4.287870
26,0.011614,0.011614,0.000000,0.000000,17.721594,0.668100,0.001000,90.7,4.287870
27,0.007539,0.007539,0.000000,0.000000,17.377278,0.653600,0.001000,90.4,4.287870
28,0.007447,0.007447,0.000000,0.000000,18.523551,0.655657,0.001000,90.6,4.287870
29,0.006738,0.006738,0.000000,0.000000,18.734636,0.677207,0.001000,90.5,4.287870
30,0.006507,0.006507,0.000000,0.000000,18.542709,0.686034,0.001000,90.5,4.287870
31,0.007138,0.007138,0.000000,0.000000,17.620820,0.680124,0.001000,90.5,4.287870
32,0.004373,0.004373,0.000000,0.000000,19.383252,0.689824,0.001000,90.6,4.287870
33,0.005265,0.005265,0.000000,0.000000,19.811822,0.678219,0.001000,90.5,4.287870
34,0.004182,0.004182,0.000000,0.000000,19.681361,0.684520,0.001000,90.5,4.287870
35,0.004549,0.004549,0.000000,0.000000,19.769729,0.684312,0.001000,90.5,4.287870
36,0.003224,0.003224,0.000000,0.000000,20.858967,0.680258,0.001000,90.6,4.287870
37,0.002325,0.002325,0.000000,0.000000,21.839826,0.687034,0.001000,90.5,4.287870
38,0.002579,0.002579,0.000000,0.000000,21.005204,0.682925,0.001000,90.5,4.287870
39,0.002683,0.002683,0.000000,0.000000,21.778959,0.687740,0.000100,90.6,4.287870
40,0.003018,0.003018,0.000000,0.000000,19.703969,0.681913,0.000100,90.7,4.287870
41,0.002876,0.002876,0.000000,0.000000,20.489578,0.685820,0.000100,90.5,4.287870
42,0.001919,0.001919,0.000000,0.000000,22.068052,0.683318,0.000100,90.6,4.287870
43,0.002766,0.002766,0.000000,0.000000,22.683163,0.686758,0.000100,90.4,4.287870
44,0.002121,0.002121,0.000000,0.000000,21.666033,0.690347,0.000100,89.7,4.287870
45,0.002286,0.002286,0.000000,0.000000,20.769980,0.685131,0.000100,89.8,4.287870
46,0.002008,0.002008,0.000000,0.000000,22.278951,0.686411,0.000100,90.2,4.287870
47,0.002451,0.002451,0.000000,0.000000,20.774107,0.686464,0.000100,90.8,4.287870
48,0.002171,0.002171,0.000000,0.000000,20.231612,0.687524,0.000100,90.7,4.287870
49,0.002487,0.002487,0.000000,0.000000,22.262810,0.684178,0.000100,90.1,4.287870
