epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.602825,0.593268,0.019113,0.000000,6.667077,0.595044,0.010000,90.9,inf
1,0.458404,0.443067,0.030674,0.000000,4.756223,0.679852,0.010000,90.0,6.667077
2,0.381846,0.364783,0.034127,0.000000,11.129471,0.628454,0.010000,89.8,4.756223
3,0.315258,0.293212,0.044092,0.000000,5.882747,0.638727,0.010000,89.9,4.756223
4,0.251702,0.228799,0.045806,0.000000,12.588866,0.663665,0.010000,90.3,4.756223
5,0.171914,0.143100,0.057627,0.000000,12.775648,0.673346,0.010000,91.5,4.756223
6,0.160617,0.131802,0.057629,0.000000,11.120520,0.612037,0.010000,91.1,4.756223
7,0.147795,0.119864,0.055861,0.000000,12.006027,0.649014,0.010000,91.3,4.756223
8,0.103443,0.074136,0.058614,0.000000,15.988020,0.650383,0.010000,91.1,4.756223
9,0.094559,0.066010,0.057098,0.000000,15.949471,0.733355,0.010000,91.3,4.756223
10,0.046898,0.017076,0.059644,0.000000,16.191594,0.698958,0.010000,91.5,4.756223
11,0.044401,0.015095,0.058612,0.000000,17.588268,0.679740,0.010000,91.3,4.756223
12,0.036337,0.007073,0.058529,0.000000,14.229906,0.734257,0.010000,91.3,4.756223
13,0.033888,0.004855,0.058066,0.000000,17.104651,0.719034,0.010000,91.3,4.756223
14,0.034052,0.005074,0.057956,0.000000,9.511664,0.764681,0.010000,91.1,4.756223
15,0.034715,0.005600,0.058231,0.000000,15.279918,0.745970,0.010000,91.2,4.756223
16,0.034189,0.005332,0.057713,0.000000,19.270930,0.736771,0.010000,91.4,4.756223
17,0.031496,0.004530,0.053931,0.000000,11.591802,0.746327,0.010000,91.4,4.756223
18,0.034075,0.006013,0.056124,0.000000,13.399560,0.707689,0.010000,91.3,4.756223
19,0.033909,0.005633,0.056551,0.000000,10.665577,0.724654,0.001000,91.3,4.756223
20,0.033653,0.005726,0.055853,0.000000,7.949483,0.739719,0.001000,91.4,4.756223
21,0.032684,0.004436,0.056497,0.000000,8.215559,0.749686,0.001000,91.3,4.756223
22,0.032850,0.004420,0.056859,0.000000,8.487442,0.749397,0.001000,91.1,4.756223
23,0.032076,0.004585,0.054982,0.000000,8.010349,0.755782,0.001000,90.9,4.756223
24,0.031826,0.004638,0.054376,0.000000,9.130898,0.747260,0.001000,90.7,4.756223
25,0.032078,0.005534,0.053089,0.000000,8.404322,0.748429,0.001000,89.9,4.756223
26,0.031067,0.004647,0.052841,0.000000,7.181462,0.751112,0.001000,89.7,4.756223
27,0.031909,0.005607,0.052604,0.000000,9.420327,0.751486,0.001000,89.8,4.756223
28,0.032043,0.004951,0.054184,0.000000,7.989454,0.757466,0.001000,90.1,4.756223
29,0.031052,0.004603,0.052898,0.000000,7.933162,0.759655,0.001000,89.8,4.756223
30,0.032334,0.005153,0.054363,0.000000,6.825255,0.759926,0.001000,89.8,4.756223
31,0.032199,0.005145,0.054107,0.000000,6.824763,0.755202,0.001000,89.8,4.756223
32,0.031556,0.004914,0.053285,0.000000,6.754796,0.757599,0.001000,89.8,4.756223
33,0.031689,0.005336,0.052705,0.000000,6.946780,0.752483,0.001000,89.9,4.756223
34,0.031801,0.004941,0.053721,0.000000,6.622163,0.752652,0.001000,89.8,4.756223
35,0.033317,0.005606,0.055423,0.000000,7.080074,0.753601,0.001000,89.9,4.756223
36,0.031309,0.004838,0.052941,0.000000,7.738647,0.754447,0.001000,89.9,4.756223
37,0.030619,0.004395,0.052448,0.000000,8.215745,0.758803,0.001000,89.9,4.756223
38,0.032165,0.005753,0.052823,0.000000,7.974325,0.752989,0.001000,90.0,4.756223
39,0.032094,0.004261,0.055665,0.000000,7.290814,0.755746,0.000100,90.3,4.756223
40,0.030298,0.003773,0.053050,0.000000,6.645393,0.751727,0.000100,90.8,4.756223
41,0.032381,0.004349,0.056063,0.000000,6.621795,0.756734,0.000100,90.7,4.756223
42,0.032360,0.004634,0.055451,0.000000,6.854453,0.755377,0.000100,90.7,4.756223
43,0.031481,0.004946,0.053070,0.000000,7.396813,0.748065,0.000100,90.4,4.756223
44,0.031998,0.004464,0.055069,0.000000,6.616447,0.754458,0.000100,90.2,4.756223
45,0.031672,0.004599,0.054145,0.000000,5.085287,0.756936,0.000100,90.3,4.756223
46,0.031694,0.004119,0.055151,0.000000,7.152690,0.753061,0.000100,90.0,4.756223
47,0.031727,0.004076,0.055303,0.000000,6.516990,0.755589,0.000100,89.9,4.756223
48,0.031441,0.004309,0.054263,0.000000,6.056450,0.756999,0.000100,89.8,4.756223
49,0.030637,0.003878,0.053518,0.000000,6.171732,0.759219,0.000100,89.9,4.756223
