condition,seed,run,checkpoint,mAP,AP@0.5s,AP@1.0s,AP@1.5s,mAUC01,Recall@0.5s,Recall@1.0s,Recall@1.5s,mTTA_detected,Coverage,PVR,ADS,RCJ,PVR_eps0
T05,42,riskprop_fixed_seed42_tau0.5,latest,0.74541179339623,0.8277917480860766,0.7321080987063568,0.6763355333962568,0.2379259259259259,0.52,0.36666666666666664,0.26,1.0804597701149425,0.58,0.1803984674329502,0.03335288899191324,0.12813843789941182,0.3185593869731801
T05,43,riskprop_fixed_seed43_tau0.5,latest,0.7165921961632721,0.7824672205380894,0.7012351888232664,0.6660741791284606,0.19333333333333333,0.54,0.41333333333333333,0.3333333333333333,1.1538461538461537,0.6066666666666667,0.18599233716475094,0.029759726165016626,0.11210361580743362,0.3213486590038314
T05,44,riskprop_fixed_seed44_tau0.5,latest,0.721974613208043,0.8016715112132318,0.7217675703825661,0.6424847580283312,0.20044444444444445,0.4066666666666667,0.3,0.20666666666666667,1.0460526315789473,0.5066666666666667,0.15420689655172415,0.030809064081811374,0.12176800177085734,0.3193716475095785
T10,42,riskprop_fixed_seed42,latest,0.739338595565555,0.8148551949426022,0.7383968260617386,0.6647637656923243,0.22562962962962962,0.5266666666666666,0.37333333333333335,0.25333333333333335,1.0449438202247192,0.5933333333333334,0.17561685823754786,0.031135188629701598,0.12257198202667088,0.30219157088122606
T10,43,riskprop_fixed_seed43,latest,0.7408024613181728,0.8086935889382376,0.7389031769254799,0.6748106180908007,0.2054814814814815,0.5133333333333333,0.38666666666666666,0.29333333333333333,1.1043956043956045,0.6066666666666667,0.19578544061302683,0.03776102017152582,0.14345826480238974,0.3040153256704981
T10,44,riskprop_fixed_seed44,latest,0.7479893143376662,0.827026850137994,0.7403949111911378,0.6765461816838674,0.24162962962962964,0.5266666666666666,0.36666666666666664,0.3,1.086021505376344,0.62,0.1741302681992337,0.034547127004008846,0.13759664991067866,0.3130114942528736
T15,42,riskprop_fixed_seed42_tau1.5,latest,0.7838729284861014,0.8463771479779945,0.7814383829797914,0.7238032545005181,0.3091111111111111,0.6266666666666667,0.5,0.3933333333333333,1.162037037037037,0.72,0.1902375478927203,0.033655275945334004,0.12376994666158045,0.29832950191570884
T15,43,riskprop_fixed_seed43_tau1.5,latest,0.7421334622955865,0.8155187980880358,0.746097479259759,0.6647841095389647,0.23755555555555555,0.52,0.42,0.26666666666666666,1.1021505376344085,0.62,0.19141762452107283,0.02868619825043189,0.10665344986878163,0.31973946360153255
T15,44,riskprop_fixed_seed44_tau1.5,latest,0.7250448279252066,0.8119266985766171,0.7147471188511971,0.6484606663478056,0.23274074074074078,0.5266666666666666,0.34,0.22666666666666666,1.0055555555555555,0.6,0.1916934865900383,0.0349180892415033,0.1343261746607638,0.315816091954023
R,42,riskprop_random_seed42,latest,0.7108366902019805,0.7943800625023961,0.6981983556085729,0.6399316524949727,0.1514074074074074,0.36666666666666664,0.24666666666666667,0.16,1.0153846153846153,0.43333333333333335,0.20045977011494248,0.030626672681711375,0.11377121452303712,0.3115095785440613
R,43,riskprop_random_seed43,latest,0.7481117096270827,0.8192627622670043,0.7455101929532733,0.6795621736609709,0.23985185185185184,0.52,0.4066666666666667,0.32,1.127659574468085,0.6266666666666667,0.20735632183908048,0.03157285754595724,0.11888661644918161,0.3180229885057472
R,44,riskprop_random_seed44,latest,0.776890410223671,0.8377470472508841,0.7731904494474428,0.7197337339726864,0.29703703703703704,0.5866666666666667,0.44666666666666666,0.34,1.168421052631579,0.6333333333333333,0.18954789272030653,0.034703936931585334,0.13009526529695092,0.3229425287356322
