epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_loss
0,0.658620,0.639102,0.012961,0.026075,3.855159,0.550941,0.010000,93.9,inf
1,0.594055,0.571892,0.016251,0.028076,4.264515,0.605814,0.010000,91.6,3.855159
2,0.491654,0.465801,0.022270,0.029437,5.158743,0.676593,0.010000,91.5,3.855159
3,0.416228,0.385794,0.030499,0.030369,6.764187,0.640186,0.010000,91.7,3.855159
4,0.316513,0.282224,0.039061,0.029518,6.615120,0.651858,0.010000,92.0,3.855159
5,0.259211,0.221771,0.046972,0.027908,10.893517,0.601200,0.010000,91.6,3.855159
6,0.231401,0.190315,0.053773,0.028399,7.716965,0.694787,0.010000,91.5,3.855159
7,0.202508,0.162057,0.054015,0.026888,8.527175,0.655763,0.010000,91.5,3.855159
8,0.131565,0.090683,0.059163,0.022600,16.886502,0.681412,0.010000,91.8,3.855159
9,0.109703,0.072579,0.055769,0.018480,9.534801,0.665929,0.010000,92.4,3.855159
10,0.092639,0.054158,0.059872,0.017090,12.312593,0.660373,0.010000,93.6,3.855159
11,0.174671,0.132462,0.059804,0.024615,10.408534,0.624467,0.010000,93.1,3.855159
12,0.099782,0.058725,0.062046,0.020067,12.991659,0.688202,0.010000,93.1,3.855159
13,0.069845,0.034384,0.056462,0.014460,15.463471,0.663829,0.010000,92.9,3.855159
14,0.041697,0.008846,0.057600,0.008102,19.472489,0.699417,0.010000,93.2,3.855159
15,0.036756,0.005610,0.054972,0.007319,16.966120,0.712400,0.010000,93.4,3.855159
16,0.033496,0.003514,0.053304,0.006660,17.041582,0.718941,0.010000,91.9,3.855159
17,0.035703,0.003207,0.058180,0.006810,13.196630,0.732465,0.010000,91.9,3.855159
18,0.036015,0.003344,0.058633,0.006710,19.193345,0.692617,0.010000,91.6,3.855159
19,0.036321,0.003171,0.058577,0.007725,16.435069,0.717877,0.001000,91.8,3.855159
20,0.034627,0.002178,0.057981,0.006917,16.560399,0.727003,0.001000,92.6,3.855159
21,0.034591,0.002485,0.057258,0.006953,19.529900,0.713153,0.001000,92.8,3.855159
22,0.033600,0.001723,0.057716,0.006037,15.712132,0.722379,0.001000,93.2,3.855159
23,0.034616,0.002319,0.057169,0.007426,14.198835,0.724477,0.001000,93.3,3.855159
24,0.034031,0.002004,0.058363,0.005692,13.500977,0.721231,0.001000,93.5,3.855159
25,0.034542,0.002176,0.057314,0.007416,15.157386,0.719549,0.001000,93.4,3.855159
26,0.035108,0.002079,0.059587,0.006469,13.311306,0.735918,0.001000,93.1,3.855159
27,0.034639,0.001950,0.058243,0.007135,15.202663,0.721541,0.001000,93.2,3.855159
28,0.034323,0.002385,0.057398,0.006479,16.036983,0.721082,0.001000,93.9,3.855159
29,0.032280,0.002275,0.054548,0.005462,14.546142,0.739245,0.001000,93.4,3.855159
30,0.034027,0.002139,0.057320,0.006455,13.641265,0.740589,0.001000,93.1,3.855159
31,0.033978,0.002100,0.056825,0.006933,13.708918,0.739265,0.001000,91.6,3.855159
32,0.034653,0.002585,0.057608,0.006527,13.437662,0.742810,0.001000,91.8,3.855159
33,0.034370,0.001920,0.058565,0.006334,14.511133,0.732229,0.001000,91.6,3.855159
34,0.033996,0.002265,0.056536,0.006924,11.944822,0.743241,0.001000,92.0,3.855159
35,0.033685,0.002517,0.056672,0.005663,14.378010,0.739392,0.001000,91.7,3.855159
36,0.033692,0.002822,0.056223,0.005517,13.998001,0.739363,0.001000,91.6,3.855159
37,0.033578,0.002106,0.056759,0.006186,11.333681,0.741862,0.001000,91.7,3.855159
38,0.034953,0.002687,0.057244,0.007288,13.940550,0.737763,0.001000,92.9,3.855159
39,0.034418,0.002229,0.056942,0.007437,12.953592,0.736403,0.000100,93.5,3.855159
40,0.032720,0.001895,0.056010,0.005642,12.819009,0.735946,0.000100,93.6,3.855159
41,0.032932,0.002272,0.055261,0.006058,13.849249,0.735901,0.000100,93.2,3.855159
42,0.032284,0.002301,0.055107,0.004859,14.185491,0.732455,0.000100,93.0,3.855159
43,0.032842,0.002303,0.055567,0.005511,12.157957,0.741977,0.000100,93.6,3.855159
44,0.033485,0.002640,0.056520,0.005169,14.040706,0.739942,0.000100,93.3,3.855159
45,0.034715,0.001946,0.058734,0.006804,14.400542,0.736675,0.000100,93.5,3.855159
46,0.033779,0.002381,0.057579,0.005215,15.310897,0.735368,0.000100,94.3,3.855159
47,0.033216,0.002226,0.056475,0.005506,12.427578,0.738236,0.000100,93.8,3.855159
48,0.034634,0.002937,0.057031,0.006363,13.062130,0.748338,0.000100,93.2,3.855159
49,0.032941,0.001880,0.056593,0.005529,12.740997,0.738305,0.000100,93.3,3.855159
