epoch,train_loss,val_loss,lr,time_sec,best_val_loss
0,1.338676,1.369266,0.010000,19.3,inf
1,1.194984,1.443950,0.010000,20.8,1.369266
2,1.109691,1.257508,0.010000,17.7,1.369266
3,1.021525,1.496937,0.010000,18.2,1.257508
4,0.989335,1.557163,0.010000,15.4,1.257508
5,0.922906,2.115242,0.010000,18.3,1.257508
6,0.870250,1.676493,0.010000,23.1,1.257508
7,0.921841,1.398674,0.010000,19.9,1.257508
8,0.871553,1.521523,0.010000,15.7,1.257508
9,0.751638,1.357136,0.010000,17.6,1.257508
10,0.681615,1.476048,0.010000,20.3,1.257508
11,0.658160,1.640191,0.010000,19.0,1.257508
12,0.649233,1.689309,0.010000,19.2,1.257508
13,0.651548,1.915927,0.010000,19.5,1.257508
14,0.593442,3.335257,0.010000,26.6,1.257508
15,0.563392,1.694939,0.010000,16.4,1.257508
16,0.561764,1.952040,0.010000,18.4,1.257508
17,0.556557,1.524886,0.010000,17.6,1.257508
18,0.497391,1.740902,0.010000,22.3,1.257508
19,0.462193,1.583332,0.001000,21.8,1.257508
20,0.363191,1.947186,0.001000,23.8,1.257508
21,0.303155,1.991969,0.001000,13.8,1.257508
22,0.262870,2.405577,0.001000,13.7,1.257508
23,0.258454,2.541678,0.001000,16.2,1.257508
24,0.245301,2.532018,0.001000,18.4,1.257508
25,0.254626,2.399597,0.001000,22.1,1.257508
26,0.221333,2.397526,0.001000,14.4,1.257508
27,0.223419,2.566216,0.001000,16.7,1.257508
28,0.203299,2.651908,0.001000,26.4,1.257508
29,0.195032,2.733646,0.001000,21.1,1.257508
30,0.197641,2.609133,0.001000,18.1,1.257508
31,0.187397,2.682274,0.001000,18.4,1.257508
32,0.174069,2.689573,0.001000,16.3,1.257508
33,0.168268,3.071381,0.001000,23.0,1.257508
34,0.167037,2.642716,0.001000,19.5,1.257508
35,0.145861,3.238569,0.001000,23.2,1.257508
36,0.154884,3.038200,0.001000,17.6,1.257508
37,0.149435,3.104861,0.001000,15.7,1.257508
38,0.139968,3.193788,0.001000,18.2,1.257508
39,0.141060,3.195115,0.000100,16.4,1.257508
40,0.138015,3.329571,0.000100,15.7,1.257508
41,0.137781,3.208441,0.000100,15.6,1.257508
42,0.137478,3.029028,0.000100,15.4,1.257508
43,0.134791,3.327245,0.000100,19.7,1.257508
44,0.134701,3.077156,0.000100,17.9,1.257508
45,0.135624,3.287208,0.000100,25.4,1.257508
46,0.136943,3.079277,0.000100,20.2,1.257508
47,0.128829,2.991323,0.000100,18.1,1.257508
48,0.127586,3.090874,0.000100,24.5,1.257508
49,0.130990,3.517294,0.000100,18.0,1.257508
