epoch,train_loss,val_loss,lr,time_sec,best_val_loss
0,1.343785,1.761925,0.010000,9.6,inf
1,1.211533,1.436334,0.010000,8.9,1.761925
2,1.162834,1.544580,0.010000,8.9,1.436334
3,1.056950,1.370729,0.010000,9.0,1.436334
4,1.020722,1.345255,0.010000,9.0,1.370729
5,0.959543,1.374112,0.010000,8.9,1.345255
6,0.882795,1.629234,0.010000,9.0,1.345255
7,0.884416,1.748797,0.010000,9.0,1.345255
8,0.793571,1.415116,0.010000,9.0,1.345255
9,0.798556,1.737267,0.010000,9.0,1.345255
10,0.760265,1.482791,0.010000,9.0,1.345255
11,0.671340,1.657483,0.010000,9.0,1.345255
12,0.633876,1.438620,0.010000,9.0,1.345255
13,0.547219,2.501588,0.010000,9.0,1.345255
14,0.617157,2.428102,0.010000,8.9,1.345255
15,0.615854,1.796514,0.010000,9.0,1.345255
16,0.527768,3.043204,0.010000,9.0,1.345255
17,0.524528,2.121004,0.010000,9.0,1.345255
18,0.500383,1.784685,0.010000,8.9,1.345255
19,0.509925,3.086913,0.001000,8.9,1.345255
20,0.381263,2.036399,0.001000,9.0,1.345255
21,0.353262,2.030331,0.001000,8.9,1.345255
22,0.326641,1.941400,0.001000,8.9,1.345255
23,0.291956,2.522810,0.001000,9.0,1.345255
24,0.276305,2.325924,0.001000,9.0,1.345255
25,0.251935,2.334162,0.001000,9.0,1.345255
26,0.230450,2.316135,0.001000,9.0,1.345255
27,0.226997,2.705582,0.001000,9.0,1.345255
28,0.213050,2.739679,0.001000,9.0,1.345255
29,0.193591,3.081355,0.001000,9.0,1.345255
30,0.192592,2.824818,0.001000,8.9,1.345255
31,0.185738,2.899333,0.001000,8.9,1.345255
32,0.178072,2.882237,0.001000,8.9,1.345255
33,0.162454,3.004310,0.001000,9.0,1.345255
34,0.165137,3.067470,0.001000,8.9,1.345255
35,0.162844,3.229137,0.001000,9.0,1.345255
36,0.157859,3.124685,0.001000,9.0,1.345255
37,0.149827,3.040444,0.001000,8.9,1.345255
38,0.148360,3.108270,0.001000,9.0,1.345255
39,0.142505,3.484651,0.000100,9.0,1.345255
40,0.137454,3.433697,0.000100,9.0,1.345255
41,0.132674,3.130611,0.000100,9.0,1.345255
42,0.141823,3.076889,0.000100,9.0,1.345255
43,0.133928,3.719151,0.000100,9.0,1.345255
44,0.140554,3.260530,0.000100,9.0,1.345255
45,0.134285,3.159618,0.000100,8.9,1.345255
46,0.139443,3.055656,0.000100,9.0,1.345255
47,0.134466,3.352496,0.000100,9.0,1.345255
48,0.133665,3.325515,0.000100,9.0,1.345255
49,0.132144,3.272339,0.000100,9.0,1.345255
