epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_mAP
0,0.749571,0.739971,0.003685,0.015514,10.027945,0.634292,0.002000,95.3,-1.000000
1,0.594784,0.570628,0.028294,0.020020,12.820578,0.668768,0.002000,94.3,0.634292
2,0.420021,0.391326,0.037646,0.019744,14.112494,0.668890,0.002000,94.4,0.668768
3,0.314246,0.284355,0.042249,0.017534,15.478370,0.668707,0.002000,94.4,0.668890
4,0.227716,0.194909,0.050439,0.015175,16.001453,0.697096,0.002000,94.4,0.668890
5,0.165883,0.132490,0.051317,0.015470,12.981502,0.685204,0.002000,94.2,0.697096
6,0.107159,0.075302,0.053011,0.010703,15.135942,0.698228,0.002000,94.4,0.697096
7,0.084006,0.051146,0.055345,0.010374,17.689874,0.697266,0.002000,94.3,0.698228
8,0.067595,0.033538,0.056930,0.011183,18.340610,0.714445,0.002000,94.7,0.698228
9,0.050645,0.017628,0.056797,0.009238,15.110258,0.722300,0.002000,94.3,0.714445
10,0.047403,0.014852,0.056150,0.008952,15.465389,0.732200,0.002000,94.4,0.722300
11,0.047547,0.015204,0.054619,0.010067,14.067338,0.749053,0.002000,94.2,0.732200
12,0.041251,0.008463,0.056685,0.008893,16.704898,0.737972,0.002000,94.3,0.749053
13,0.038379,0.006122,0.055960,0.008554,12.231550,0.736584,0.002000,94.4,0.749053
14,0.040741,0.008064,0.056292,0.009064,15.905753,0.746188,0.002000,94.4,0.749053
15,0.039877,0.005921,0.058032,0.009879,12.482357,0.750885,0.002000,94.5,0.749053
16,0.038898,0.007313,0.054086,0.009083,12.259924,0.759474,0.002000,94.3,0.750885
17,0.038735,0.006471,0.056012,0.008516,11.536807,0.749327,0.002000,94.5,0.759474
18,0.038570,0.006291,0.055521,0.009038,13.365566,0.754305,0.002000,94.3,0.759474
19,0.038953,0.008274,0.053160,0.008198,14.187808,0.749647,0.000200,94.4,0.759474
20,0.036126,0.007312,0.050803,0.006825,10.731319,0.754511,0.000200,94.5,0.759474
21,0.036275,0.006291,0.051294,0.008675,11.564304,0.761380,0.000200,94.3,0.759474
22,0.035796,0.006472,0.050742,0.007906,10.493004,0.748880,0.000200,94.4,0.761380
23,0.034742,0.006157,0.049998,0.007171,9.986768,0.749410,0.000200,94.3,0.761380
24,0.034198,0.004766,0.050981,0.007882,10.821293,0.757793,0.000200,94.5,0.761380
25,0.032558,0.005114,0.048615,0.006272,9.660267,0.758420,0.000200,94.4,0.761380
26,0.035980,0.006776,0.051149,0.007259,10.619004,0.749753,0.000200,94.5,0.761380
27,0.034792,0.005927,0.050277,0.007452,8.748862,0.750693,0.000200,94.6,0.761380
28,0.036246,0.006666,0.051518,0.007643,9.557981,0.761784,0.000200,94.4,0.761380
29,0.032718,0.006095,0.047390,0.005857,9.258763,0.757406,0.000200,94.4,0.761784
30,0.035926,0.007568,0.049255,0.007462,11.840375,0.757271,0.000200,94.4,0.761784
31,0.033557,0.006428,0.047232,0.007024,11.154339,0.753313,0.000200,94.5,0.761784
32,0.036227,0.007675,0.050222,0.006884,9.865924,0.751883,0.000200,94.5,0.761784
33,0.034588,0.006700,0.049550,0.006226,10.903483,0.753897,0.000200,94.6,0.761784
34,0.035134,0.008066,0.047393,0.006743,8.924990,0.753279,0.000200,94.4,0.761784
35,0.035641,0.008068,0.048635,0.006511,7.935593,0.753024,0.000200,94.4,0.761784
