epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_mAP
0,0.785024,0.776522,0.002488,0.014517,7.870503,0.692614,0.002000,94.9,-1.000000
1,0.560621,0.539102,0.016610,0.026428,10.553733,0.658490,0.002000,94.1,0.692614
2,0.421037,0.392584,0.036123,0.020784,14.212993,0.660241,0.002000,94.2,0.692614
3,0.308010,0.274480,0.046545,0.020515,13.799738,0.682301,0.002000,94.2,0.692614
4,0.209123,0.175730,0.049330,0.017456,15.837898,0.684658,0.002000,94.3,0.692614
5,0.142615,0.109368,0.051268,0.015226,15.734833,0.686071,0.002000,94.2,0.692614
6,0.091224,0.057425,0.052700,0.014897,15.425257,0.706931,0.002000,94.1,0.692614
7,0.066215,0.033036,0.054704,0.011654,13.506268,0.713471,0.002000,94.4,0.706931
8,0.053877,0.019971,0.057674,0.010137,15.750160,0.708325,0.002000,94.2,0.713471
9,0.049185,0.016303,0.056980,0.008784,15.795812,0.703993,0.002000,94.2,0.713471
10,0.046545,0.010863,0.059001,0.012362,16.540940,0.712541,0.002000,94.2,0.713471
11,0.043444,0.009924,0.057924,0.009116,16.209268,0.717439,0.002000,94.3,0.713471
12,0.040408,0.007722,0.056636,0.008736,16.672871,0.723138,0.002000,94.3,0.717439
13,0.040323,0.007550,0.056733,0.008813,14.919404,0.732432,0.002000,94.2,0.723138
14,0.042604,0.009630,0.057810,0.008138,14.964875,0.739875,0.002000,94.3,0.732432
15,0.042692,0.009683,0.056335,0.009683,14.003752,0.722946,0.002000,94.2,0.739875
16,0.041153,0.008667,0.056622,0.008350,16.143333,0.732820,0.002000,94.2,0.739875
17,0.038546,0.007279,0.055614,0.006918,15.494832,0.730223,0.002000,94.1,0.739875
18,0.037868,0.006343,0.056004,0.007045,11.753054,0.747775,0.002000,94.3,0.739875
19,0.039278,0.007043,0.055966,0.008503,17.332409,0.741150,0.000200,94.2,0.747775
20,0.034827,0.004387,0.054545,0.006334,12.135945,0.740920,0.000200,94.3,0.747775
21,0.036532,0.005697,0.055122,0.006548,12.942239,0.737239,0.000200,94.3,0.747775
22,0.036621,0.006230,0.053973,0.006811,10.569188,0.746466,0.000200,94.2,0.747775
23,0.038767,0.007583,0.056025,0.006344,14.030256,0.741916,0.000200,94.3,0.747775
24,0.039087,0.007856,0.055218,0.007244,11.758705,0.735341,0.000200,94.2,0.747775
25,0.038001,0.008759,0.052779,0.005705,13.182446,0.734193,0.000200,94.1,0.747775
