epoch,train_loss,train_bce,train_reg,train_mono,val_loss,val_mAP,lr,time_sec,best_val_mAP
0,0.682128,0.670743,0.005269,0.017501,10.370311,0.636168,0.002000,95.1,-1.000000
1,0.577478,0.552169,0.026897,0.023719,11.952204,0.662981,0.002000,95.6,0.636168
2,0.456077,0.430469,0.034979,0.016236,15.404895,0.677844,0.002000,94.2,0.662981
3,0.331374,0.301628,0.042915,0.016576,14.585592,0.680831,0.002000,94.3,0.677844
4,0.229224,0.195808,0.050183,0.016648,18.139407,0.697509,0.002000,94.4,0.680831
5,0.156101,0.123503,0.050550,0.014647,17.145533,0.692386,0.002000,94.3,0.697509
6,0.115043,0.081872,0.054880,0.011463,17.388435,0.712579,0.002000,94.2,0.697509
7,0.083437,0.049683,0.056742,0.010765,18.516938,0.699892,0.002000,94.3,0.712579
8,0.061071,0.028609,0.056114,0.008810,17.855293,0.723797,0.002000,94.2,0.712579
9,0.054403,0.020318,0.060025,0.008146,17.983453,0.736728,0.002000,94.5,0.723797
10,0.049183,0.017474,0.054430,0.008988,12.932423,0.743125,0.002000,94.3,0.736728
11,0.042033,0.011078,0.054139,0.007770,17.797968,0.742105,0.002000,94.3,0.743125
12,0.040753,0.008480,0.056802,0.007744,14.457638,0.748859,0.002000,94.3,0.743125
13,0.038739,0.007687,0.055160,0.006945,16.023788,0.755698,0.002000,94.2,0.748859
14,0.039240,0.007673,0.054579,0.008554,13.004969,0.759930,0.002000,94.3,0.755698
15,0.036907,0.005555,0.055536,0.007168,14.499013,0.754412,0.002000,94.2,0.759930
16,0.040230,0.007848,0.056032,0.008730,12.356903,0.749257,0.002000,94.2,0.759930
17,0.037833,0.006213,0.055242,0.007997,13.948238,0.760912,0.002000,94.2,0.759930
18,0.037644,0.006465,0.054157,0.008202,10.422793,0.764083,0.002000,94.2,0.760912
19,0.037197,0.005382,0.055613,0.008016,14.301655,0.746900,0.000200,94.3,0.764083
20,0.034346,0.004299,0.053761,0.006334,11.694208,0.754551,0.000200,94.3,0.764083
21,0.034247,0.004869,0.051346,0.007409,11.558768,0.755885,0.000200,94.2,0.764083
22,0.034599,0.004355,0.053194,0.007294,10.766862,0.747993,0.000200,94.3,0.764083
23,0.034905,0.005507,0.051966,0.006830,12.416566,0.754542,0.000200,94.3,0.764083
24,0.035679,0.005389,0.053680,0.006899,11.991771,0.748023,0.000200,94.4,0.764083
25,0.034037,0.005462,0.050465,0.006684,11.668810,0.755478,0.000200,94.3,0.764083
